ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,345.99999993054666,365.0,509.0,509.0,509.0,509.0,509.0,245.0,185.0,185.0,185.0,185.0,185.0
2,565.0,563.0,823.0,823.0,823.0,823.0,823.0,659.0,319.0,319.0,319.0,319.0,319.0
3,161.9999999837,165.0,245.0,243.0,243.0,243.0,243.0,154.0,87.0,87.0,87.0,87.0,87.0
4,457.9999999540944,434.0,668.0,662.0,662.0,662.0,662.0,586.0,262.0,262.0,262.0,262.0,262.0
5,539.0,551.0,805.0,803.0,803.0,803.0,803.0,449.0,298.0,298.0,298.0,298.0,298.0
6,832.0,831.0,1235.0,1226.0,1226.0,1226.0,1226.0,1075.0,471.0,471.0,471.0,471.0,471.0
7,238.0,237.0,357.0,357.0,357.0,357.0,357.0,255.0,132.0,132.0,132.0,132.0,132.0
8,686.0,708.0,1039.0,1025.0,1025.0,1025.0,1025.0,686.0,375.0,375.0,375.0,375.0,375.0
