ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,345.9999998958201,332.0,201.0,201.0,201.0,201.0,201.0,442.0,505.0,505.0,505.0,505.0,505.0
2,565.0,568.0,310.0,310.0,310.0,310.0,310.0,470.0,826.0,826.0,826.0,826.0,831.0
3,161.99999996740314,158.0,94.0,94.0,94.0,94.0,94.0,168.0,242.0,242.0,242.0,242.0,244.0
4,456.99999999999864,482.0,247.0,247.0,247.0,247.0,247.0,322.0,671.0,671.0,671.0,671.0,672.0
5,551.0,536.0,296.0,296.0,296.0,296.0,296.0,637.0,801.0,801.0,801.0,801.0,814.0
6,857.0,858.0,451.0,451.0,451.0,451.0,451.0,601.0,1246.0,1246.0,1246.0,1246.0,1250.0
7,241.0,242.0,131.0,131.0,131.0,131.0,131.0,223.0,361.0,361.0,361.0,361.0,366.0
8,704.0,691.0,386.0,386.0,386.0,386.0,386.0,704.0,1026.0,1026.0,1026.0,1026.0,1032.0
