ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,346.0,1.1,201.0,231.8,262.6,293.4,324.2,343.5,313.0,281.0,249.0,217.0,185.0
2,565.0,1.1,310.0,361.3,412.6,463.9,515.2,564.5,521.8,471.1,420.4,369.7,319.0
3,162.0,1.1,94.0,108.9,123.8,138.7,153.6,161.0,149.0,133.5,118.0,102.5,87.0
4,458.0,1.1,247.0,288.5,330.0,371.5,413.0,454.0,425.6,384.7,343.8,302.9,262.0
5,551.0,1.1,296.0,346.7,397.4,448.1,498.8,543.0,499.2,448.9,398.6,348.3,298.0
6,857.0,1.1,451.0,528.5,606.0,683.5,761.0,838.0,781.0,703.5,626.0,548.5,471.0
7,241.0,1.1,131.0,153.6,176.2,198.8,221.4,239.0,223.6,200.7,177.8,154.9,132.0
8,704.0,1.1,386.0,449.9,513.8,577.7,641.6,695.0,635.4,570.3,505.2,440.1,375.0
